resource_id,project_id,resource_name,role,allocated_hours,actual_hours
RES001,PRJ001,"Eleanor Baker","Data Analyst",380,349
RES002,PRJ001,"Wayne Gough","QA Analyst",401,380
RES003,PRJ001,"Bernard Wilkinson-Simpson","Project Coordinator",241,223
RES004,PRJ001,"Mrs Julia Harris","Change Manager",406,472
RES005,PRJ001,"Dylan Young","Change Manager",981,856
RES006,PRJ001,"Ms Lindsey Rees","Change Manager",747,612
RES007,PRJ001,"Geoffrey Griffin","Data Analyst",739,807
RES008,PRJ001,"Megan Taylor","QA Analyst",788,609
RES009,PRJ002,"Miss Carole Woods","Project Coordinator",615,613
RES010,PRJ002,"Ms Sheila Evans","QA Analyst",827,631
RES011,PRJ002,"Aaron Harrison","QA Analyst",675,650
RES012,PRJ002,"Brandon Hammond","Technical Lead",783,853
RES013,PRJ002,"Graham Wilkinson","Change Manager",392,463
RES014,PRJ002,"Amanda Hall","Product Owner",927,655
RES015,PRJ002,"Frances Holmes-Lloyd",Developer,125,113
RES016,PRJ002,"Mrs Pauline Fuller","Business Analyst",786,574
RES017,PRJ002,"Dr Marc Phillips",Engineer,868,982
RES018,PRJ003,"Ruth Hawkins",Engineer,249,289
RES019,PRJ003,"Ms Jill Morley",Engineer,308,343
RES020,PRJ003,"Bernard Wilkins","Business Analyst",467,535
RES021,PRJ003,"Catherine Morris",Developer,730,859
RES022,PRJ003,"Wayne Morris","Change Manager",985,811
RES023,PRJ003,"Dr Paula Lloyd","Change Manager",498,413
RES024,PRJ004,"Kathryn Hughes",Engineer,809,861
RES025,PRJ004,"Mr William Gould","Product Owner",496,460
RES026,PRJ004,"Bethan Oliver","QA Analyst",665,485
RES027,PRJ004,"Lorraine Palmer",Engineer,307,319
RES028,PRJ004,"Arthur Smith","Finance Analyst",949,782
RES029,PRJ004,"Christopher Davies","QA Analyst",873,893
RES030,PRJ004,"Bethan Young","Technical Lead",301,339
RES031,PRJ004,"Dr Danny Cook","Data Analyst",401,379
RES032,PRJ004,"Marion Steele-Harper",Developer,291,357
RES033,PRJ004,"Wayne Page-Carter","Change Manager",222,201
RES034,PRJ005,"Alexander Taylor",Engineer,669,565
RES035,PRJ005,"Frances Buckley-Ryan","Project Coordinator",698,813
RES036,PRJ005,"Ms Kayleigh Watson","Business Analyst",438,418
RES037,PRJ005,"David Anderson","Project Coordinator",140,109
RES038,PRJ005,"John Griffiths","QA Analyst",711,517
RES039,PRJ005,"Miss Alice Tomlinson","Technical Lead",963,1024
RES040,PRJ005,"Simon Cunningham","Finance Analyst",908,921
RES041,PRJ006,"Joshua Stewart",Developer,902,982
RES042,PRJ006,"Philip Clarke","Change Manager",325,398
RES043,PRJ006,"Henry O'Brien","Change Manager",169,191
RES044,PRJ006,"Leon Davison","Project Coordinator",525,524
RES045,PRJ006,"Kayleigh Mitchell","Product Owner",194,173
RES046,PRJ006,"Oliver Edwards-Matthews","Data Analyst",779,687
RES047,PRJ007,"Victor Patel",Engineer,323,394
RES048,PRJ007,"Eric O'Neill","Technical Lead",643,618
RES049,PRJ007,"Charlotte Haynes","Change Manager",943,1050
RES050,PRJ007,"Martyn Wilson","Business Analyst",217,231
RES051,PRJ007,"Sarah Hammond","Finance Analyst",346,414
RES052,PRJ007,"Robert Wilson","Technical Lead",736,613
RES053,PRJ008,"Maria Bruce","QA Analyst",490,589
RES054,PRJ008,"Olivia King",Developer,495,416
RES055,PRJ008,"Kayleigh Daniels",Engineer,125,150
RES056,PRJ008,"Gerard Jones","QA Analyst",626,714
RES057,PRJ009,"Dr Dennis Bates","Finance Analyst",144,124
RES058,PRJ009,"Lydia Williams","Data Analyst",428,420
RES059,PRJ009,"Dr Joan Taylor",Developer,271,334
RES060,PRJ009,"Hazel Lambert","Change Manager",646,454
RES061,PRJ009,"Adam Long",Developer,315,336
RES062,PRJ009,"Leslie Roberts-Griffiths","Data Analyst",985,1060
